Age,Tm,Opp,FG%,3P%,TRB,BLK,PTS,win_flag,total
23,03_10CLE,BOS,0.391,0.333,12,1,32,1,1
23,03_10CLE,BOS,0.483,0.273,5,0,45,0,1
22,03_10CLE,DAL,0.182,0,5,0,10,0,1
22,03_10CLE,NYK,0.464,0.6,7,1,45,1,1
22,03_10CLE,PHO,0.423,0.6,5,4,27,0,1
22,03_10CLE,GSW,0.563,0.5,13,3,24,1,1
22,03_10CLE,UTA,0.444,0.25,15,2,32,0,1
22,03_10CLE,SAC,0.526,0,4,1,26,1,1
22,03_10CLE,LAC,0.429,0,5,1,22,1,1
22,03_10CLE,DEN,0.563,0.333,1,0,27,0,1
22,03_10CLE,ORL,0.556,0.5,13,2,39,0,1
22,03_10CLE,UTA,0.481,0.333,10,3,40,1,1
22,03_10CLE,MIL,0.5,0.143,7,1,34,0,1
22,03_10CLE,MIN,0.654,0.6,8,2,45,1,1
22,03_10CLE,TOR,0.483,0.25,12,1,37,1,1
22,03_10CLE,IND,0.476,0.167,11,1,30,1,1
22,03_10CLE,BOS,0.44,0.25,4,2,38,1,1
22,03_10CLE,DET,0.455,0,1,0,15,0,1
22,03_10CLE,IND,0.556,0,3,1,17,1,1
22,03_10CLE,NJN,0.48,0.333,6,0,29,0,1
22,03_10CLE,PHI,0.556,0,6,1,21,0,1
22,03_10CLE,MIL,0.4,0,8,0,31,1,1
22,03_10CLE,NYK,0.571,0.5,8,0,32,0,1
22,03_10CLE,LAL,0.414,0,10,1,33,1,1
22,03_10CLE,GSW,0.4,0,5,1,25,0,1
22,03_10CLE,MIA,0.474,0,6,1,25,1,1
22,03_10CLE,DAL,0.429,0.25,8,0,24,1,1
22,03_10CLE,NOH,0.381,0.25,5,0,21,0,1
23,03_10CLE,ATL,0.591,0.333,5,1,36,1,1
23,03_10CLE,SAC,0.389,0.167,8,1,24,1,1
23,03_10CLE,TOR,0.483,0.5,11,0,39,1,1
23,03_10CLE,SEA,0.444,0,8,0,22,1,1
23,03_10CLE,ATL,0.591,0,10,1,31,0,1
23,03_10CLE,CHA,0.5,0.286,19,3,31,1,1
23,03_10CLE,MEM,0.643,0.5,8,1,51,1,1
23,03_10CLE,SAS,0.375,0.2,9,2,27,1,1
23,03_10CLE,MIA,0.423,0.25,3,1,28,1,1
23,03_10CLE,WAS,0.538,0.333,8,1,23,1,1
23,03_10CLE,PHO,0.467,0,7,0,36,0,1
23,03_10CLE,LAL,0.5,0.2,9,0,41,1,1
23,03_10CLE,POR,0.448,0.5,14,2,37,1,1
23,03_10CLE,LAC,0.421,0.25,11,1,28,1,1
23,03_10CLE,BOS,0.524,0.5,9,2,33,1,1
23,03_10CLE,HOU,0.522,0.4,7,2,32,0,1
23,03_10CLE,ATL,0.458,0,11,1,26,1,1
23,03_10CLE,DEN,0.478,0.4,5,0,30,0,1
23,03_10CLE,ORL,0.533,0.5,7,1,29,1,1
23,03_10CLE,SAS,0.548,0.2,6,1,39,0,1
23,03_10CLE,HOU,0.389,0.571,13,0,26,0,1
23,03_10CLE,IND,0.5,0.2,14,1,31,1,1
23,03_10CLE,WAS,0.55,0.333,15,1,33,1,1
23,03_10CLE,MEM,0.588,0.25,7,1,25,1,1
23,03_10CLE,MIL,0.667,0.333,4,1,35,0,1
23,03_10CLE,BOS,0.292,0.167,8,0,26,0,1
23,03_10CLE,MIN,0.5,0.25,8,0,30,1,1
23,03_10CLE,CHI,0.517,0,6,0,37,1,1
23,03_10CLE,NYK,0.533,0.538,8,0,50,1,1
23,03_10CLE,CHI,0.481,0.25,3,3,39,0,1
23,03_10CLE,IND,0.458,0.625,11,2,38,1,1
23,03_10CLE,POR,0.389,0.25,10,2,24,1,1
23,03_10CLE,NJN,0.522,0.286,11,2,42,0,1
23,03_10CLE,WAS,0.409,0.143,7,0,25,0,1
23,03_10CLE,CHA,0.458,0.333,7,2,33,1,1
23,03_10CLE,ORL,0.5,0.25,9,1,30,0,1
23,03_10CLE,DET,0.579,0.4,7,1,30,1,1
23,03_10CLE,MIL,0.36,0.333,11,0,29,0,1
23,03_10CLE,NOH,0.429,0.5,3,2,21,0,1
23,03_10CLE,DET,0.235,0.2,4,0,13,0,1
23,03_10CLE,PHI,0.611,0.5,9,1,26,1,1
23,03_10CLE,CHA,0.579,0.25,4,2,29,1,1
23,03_10CLE,CHI,0.417,0.429,5,2,33,0,1
23,03_10CLE,ORL,0.273,0.2,7,2,17,0,1
23,03_10CLE,NJN,0.524,0.25,7,2,33,1,1
23,03_10CLE,CHI,0.619,0.333,6,0,34,0,1
23,03_10CLE,MIA,0.333,0,11,2,13,1,1
23,03_10CLE,PHI,0.556,0.5,4,1,27,1,1
24,03_10CLE,DET,0.65,0.25,8,0,38,1,1
24,03_10CLE,DET,0.5,0.4,13,0,29,1,1
24,03_10CLE,DET,0.474,0,11,2,25,1,1
24,03_10CLE,DET,0.417,0,13,1,36,1,1
24,03_10CLE,ATL,0.6,0.333,10,0,34,1,1
24,03_10CLE,ATL,0.643,0.6,3,1,27,1,1
24,03_10CLE,ATL,0.6,0.5,12,1,47,1,1
24,03_10CLE,ATL,0.409,0.5,8,0,27,1,1
24,03_10CLE,ORL,0.667,0.5,6,3,49,0,1
24,03_10CLE,ORL,0.522,0.333,4,0,35,1,1
24,03_10CLE,ORL,0.393,0.125,7,1,41,0,1
24,03_10CLE,ORL,0.448,0.4,12,1,44,0,1
24,03_10CLE,ORL,0.458,0,14,1,37,1,1
24,03_10CLE,ORL,0.4,0.25,7,1,25,0,1
23,03_10CLE,BOS,0.429,0,7,1,22,0,1
23,03_10CLE,CHA,0.467,0,9,1,22,1,1
23,03_10CLE,NOH,0.4,0,7,0,15,0,1
23,03_10CLE,DAL,0.4,0,8,1,29,1,1
23,03_10CLE,CHI,0.565,0,9,0,41,1,1
23,03_10CLE,IND,0.458,0.167,9,4,27,1,1
23,03_10CLE,CHI,0.448,0.571,13,0,41,1,1
23,03_10CLE,MIL,0.667,0.25,5,0,41,1,1
23,03_10CLE,UTA,0.619,0.429,5,2,38,1,1
23,03_10CLE,NJN,0.45,0.25,8,1,31,1,1
23,03_10CLE,DET,0.381,0,6,0,25,0,1
23,03_10CLE,ATL,0.421,0.25,7,0,24,1,1
23,03_10CLE,NYK,0.5,0.429,4,1,26,1,1
23,03_10CLE,GSW,0.692,0.75,7,1,23,1,1
23,03_10CLE,MIL,0.444,0.2,7,1,32,1,1
23,03_10CLE,NYK,0.5,0.25,5,1,21,1,1
23,03_10CLE,IND,0.333,0,8,3,11,1,1
23,03_10CLE,CHA,0.471,0.5,5,2,25,1,1
23,03_10CLE,TOR,0.611,0.4,5,0,31,1,1
23,03_10CLE,PHI,0.455,0.333,4,2,29,1,1
23,03_10CLE,PHI,0.429,0.25,7,3,28,1,1
23,03_10CLE,ATL,0.526,0.286,6,1,33,0,1
23,03_10CLE,MIN,0.7,0.333,6,2,32,1,1
23,03_10CLE,DEN,0.65,0,10,0,33,1,1
23,03_10CLE,OKC,0.583,0.5,4,1,31,1,1
23,03_10CLE,HOU,0.478,0,9,1,27,1,1
23,03_10CLE,WAS,0.462,0,5,1,18,1,1
